longitude,latitude,recorded_at,item_name,data
13.703612,0.931838,15/04/2026 08:39,Taxonomic label,Myrianthus
13.703612,0.931838,15/04/2026 08:39,Nom commun,Oboba
13.703821,0.93174,15/04/2026 08:58,Taxonomic label,Elaeis guineensis
13.703821,0.93174,15/04/2026 08:58,Nom commun,Palmier a  huile
13.703601,0.931959,15/04/2026 09:04,Nom commun,Coarsa
13.703642,0.932184,15/04/2026 09:09,Taxonomic label,Antrocaryon Klaineanum
13.703642,0.932184,15/04/2026 09:09,Nom commun,Onzabili
13.703642,0.932429,15/04/2026 09:12,Taxonomic label,Antrocaryon Klaineanum
13.703642,0.932429,15/04/2026 09:12,Nom commun,Onzabili
13.703609,0.932541,15/04/2026 09:15,Taxonomic label,Antrocaryon Klaineanum
13.703609,0.932541,15/04/2026 09:15,Nom commun,Onzabili
13.703896,0.933432,15/04/2026 09:28,Taxonomic label,Trichoscypha Acuminata
13.703896,0.933432,15/04/2026 09:28,Nom commun,Amvout
13.703978,0.933241,15/04/2026 09:31,Taxonomic label,Santiria Trimera
13.703978,0.933241,15/04/2026 09:31,Nom commun,Ebo
13.703981,0.933227,15/04/2026 09:34,Taxonomic label,piptadeniastrum africanum
13.703981,0.933227,15/04/2026 09:34,Nom commun,Dabema
13.703953,0.933235,15/04/2026 09:35,Taxonomic label,pentaclethra  macrophylla
13.703953,0.933235,15/04/2026 09:35,Nom commun,mubala
13.704295,0.933299,15/04/2026 09:38,Taxonomic label,Trichoscypha Acuminata
13.704295,0.933299,15/04/2026 09:38,Nom commun,Amvout
13.704799,0.933584,15/04/2026 09:41,Taxonomic label,Trichoscypha Acuminata
13.704799,0.933584,15/04/2026 09:41,Nom commun,Amvout
13.704726,0.933861,15/04/2026 09:43,Taxonomic label,Dacryodes Buettneri
13.704726,0.933861,15/04/2026 09:43,Nom commun,Ozigo
13.704607,0.934002,15/04/2026 09:46,Taxonomic label,Antrocaryon Klaineanum
13.704607,0.934002,15/04/2026 09:46,Nom commun,Onzabili
13.704494,0.933932,15/04/2026 09:48,Taxonomic label,Dacryodes Buettneri
13.704494,0.933932,15/04/2026 09:48,Nom commun,Ozigo
13.704474,0.933915,15/04/2026 09:50,Taxonomic label,Diania cactiformis
13.704474,0.933915,15/04/2026 09:50,Nom commun,Diania
13.704427,0.933838,15/04/2026 09:51,Taxonomic label,Diania cactiformis
13.704427,0.933838,15/04/2026 09:51,Nom commun,Diania 
13.704456,0.933736,15/04/2026 09:52,Taxonomic label,Santiria Trimera
13.704456,0.933736,15/04/2026 09:52,Nom commun,Ebo
13.704379,0.933737,15/04/2026 09:53,Taxonomic label,Santiria Trimera
13.704379,0.933737,15/04/2026 09:53,Nom commun,Ebo
13.704296,0.933793,15/04/2026 09:54,Taxonomic label,Santiria Trimera
13.704296,0.933793,15/04/2026 09:54,Nom commun,Ebo
13.704321,0.934082,15/04/2026 09:56,Taxonomic label,Santiria Trimera
13.704321,0.934082,15/04/2026 09:56,Nom commun,Ebo
13.704231,0.934067,15/04/2026 09:57,Taxonomic label,Irvineia voltae
13.704231,0.934067,15/04/2026 09:57,Nom commun,Eveuss
13.703904,0.934228,15/04/2026 10:00,Taxonomic label,Santiria Trimera
13.703904,0.934228,15/04/2026 10:00,Nom commun,Ebo
13.703879,0.934276,15/04/2026 10:02,Taxonomic label,Santiria Trimera
13.703879,0.934276,15/04/2026 10:02,Nom commun,Ebo
13.703703,0.93455,15/04/2026 10:04,Taxonomic label,Santiria Trimera
13.703703,0.93455,15/04/2026 10:04,Nom commun,Ebo
13.703674,0.934743,15/04/2026 10:07,Taxonomic label,Cylicodiscus gabunensis
13.703674,0.934743,15/04/2026 10:07,Nom commun,Okane
13.703641,0.934683,15/04/2026 10:09,Taxonomic label,Dacryodes Buettneri
13.703641,0.934683,15/04/2026 10:09,Nom commun,Ozigo
13.704872,0.933184,15/04/2026 10:50,Taxonomic label,Santiria Trimera
13.704872,0.933184,15/04/2026 10:50,Nom commun,Ebo
13.704832,0.933091,15/04/2026 10:52,Taxonomic label,Uapaca guineensis
13.704832,0.933091,15/04/2026 10:52,Nom commun,Rikio
13.705001,0.933129,15/04/2026 10:57,Taxonomic label,Uapaca guineensis
13.705001,0.933129,15/04/2026 10:57,Nom commun,Rikio
13.704521,0.932786,15/04/2026 11:21,Taxonomic label,Trichoscypha Acuminata
13.704521,0.932786,15/04/2026 11:21,Nom commun,Amvout
13.704407,0.932972,15/04/2026 11:23,Taxonomic label,Myrianthus
13.704407,0.932972,15/04/2026 11:23,Nom commun,Oboba
13.7043,0.93285,15/04/2026 11:25,Taxonomic label,Santiria Trimera
13.7043,0.93285,15/04/2026 11:25,Nom commun,Ebo
13.70422,0.932762,15/04/2026 11:27,Taxonomic label,Diania cactiformis
13.70422,0.932762,15/04/2026 11:27,Nom commun,Diania 
13.703998,0.93241,15/04/2026 11:29,Taxonomic label,Pycnanthus angolensis
13.703998,0.93241,15/04/2026 11:29,Nom commun,Ilomba
13.704275,0.932164,15/04/2026 11:32,Taxonomic label,Antrocaryon Klaineanum
13.704275,0.932164,15/04/2026 11:32,Nom commun,Onzabili
13.704183,0.932141,15/04/2026 11:34,Taxonomic label,Myrianthus
13.704183,0.932141,15/04/2026 11:34,Nom commun,Oboba
13.703792,0.931451,15/04/2026 11:39,Taxonomic label,Elaeis guineensis
13.703792,0.931451,15/04/2026 11:39,Nom commun,Palmier a  huile
13.704095,0.931367,15/04/2026 11:41,Taxonomic label,Elaeis guineensis
13.704095,0.931367,15/04/2026 11:41,Nom commun,Palmier a  huile